Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
LOS ROSALES,,	1973-12-15,,Operational,Partly operational,Land (fixed),0-170-0-21105050|primary,South America,Brazil,Colombia,2.60305,-75.41833,593,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
La Aurelia,La Aurelia [26020090],	1961-01-01,,Operational,Unknown,Land (fixed),0-170-0-26020090|primary,South America,Brazil,Colombia,2.616667,-76.583333,1840,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,26|590,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
La Chulica,La Chulica [26020170],	1969-01-01,,Operational,Unknown,Land (fixed),0-170-0-26020170|primary,South America,Brazil,Colombia,2.616667,-76.35,2550,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,14|520,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
La Selva,La Selva [26020420],	1963-01-15,,Operational,Unknown,Land (fixed),0-170-0-26020420|primary,South America,Brazil,Colombia,2.65,-76.566667,1840,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,27|610,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
La Trinidad,La Trinidad [26020410],	1978-05-01,,Operational,Unknown,Land (fixed),0-170-0-26020410|primary,South America,Brazil,Colombia,2.683333,-76.533333,1600,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,27|620,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
Las Estrellas,Las Estrellas [52010190],	1994-07-01,,Operational,Unknown,Land (fixed),0-170-0-52010190|primary,South America,Brazil,Colombia,2.17,-76.61,2430,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,8|470,GOS General:Operational,	2022-11-30,Jorge Andres Gonzalez Rojas
MAGANGUE/BARACOA,,	1963-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80048|primary,South America,Brazil,Colombia,9.2666666667,-74.8166666667,18,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;METAR;SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
MAJAGUAL,,	1974-11-15,,Operational,Operational,Land (fixed),0-170-0-25025240|primary,South America,Brazil,Colombia,8.54269,-74.62733,19,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
MANIZALES/LA NUBIA,,	1968-06-15,,Operational,Silent,Land (fixed),0-20000-0-80149|primary,South America,Brazil,Colombia,5.0333333333,-75.4666666667,2080,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2022-08-04,Jorge Andres Gonzalez Rojas
MARENGO  - AUT,,	2005-07-23,,Operational,Unknown,Land (fixed),0-170-0-21015060|primary,South America,Brazil,Colombia,2.221111,-76.118889,1550,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,GOS General:Operational,	2023-06-20,COL NMHS
MARRALU AUT,,	2017-01-01,,Operational,Unknown,Land (fixed),0-170-0-25027770|primary,South America,Brazil,Colombia,8.31,-75.24,23,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
MEDELLIN/OLAYA HERRERA,,	1973-07-15,,Operational,Partly operational,Land (fixed),0-20000-0-80110|primary,South America,Brazil,Colombia,6.2166666667,-75.6,1490,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
MESA DE POLE,,	1968-03-15,,Operational,Operational,Land (fixed),0-170-0-22055020|primary,South America,Brazil,Colombia,3.45578,-75.53636,669,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
MINCA AUT,,	1965-05-15,,Operational,Unknown,Land (fixed),0-170-0-15017030|primary,South America,Brazil,Colombia,11.1589,-74.12292,650,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
MITU *,,	1963-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80361|primary,South America,Brazil,Colombia,1.1166666667,-70.0833333333,,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: STATION WITHOUT OBSERVING PROGRAMME/SANS PROGRAMME D'OBSERVATION* (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
MODULOS - AUT,,	2016-12-15,,Operational,Partly operational,Land (fixed),0-170-0-35225030|primary,South America,Brazil,Colombia,4.91047,-71.43306,139,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-07-31,Jorge Andres Gonzalez Rojas
MONGUI - AUT,,	2011-11-22,,Operational,Partly operational,Land (fixed),0-170-0-15065190|primary,South America,Brazil,Colombia,11.2268,-72.8206,60,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2022-08-29,Jorge Andres Gonzalez Rojas
MONTERIA/LOS GARZONES,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-80063|primary,South America,Brazil,Colombia,8.8166666667,-75.85,20,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
MUSINGA,,	1984-08-15,,Operational,Operational,Land (fixed),0-170-0-11115040|primary,South America,Brazil,Colombia,6.77797,-76.20333,1364,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
NEIVA/BENITO SALAS,,	1930-01-15,,Operational,Partly operational,Land (fixed),0-20000-0-80315|primary,South America,Brazil,Colombia,2.9666666667,-75.3,439,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
OCANA/AGUAS CLARAS,,,,Operational,Unknown,Land (fixed),0-20000-0-80077|primary,South America,Brazil,Colombia,8.3166666667,-73.3666666667,1435,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
OLAYA HERRERA - AUT,,	2014-05-12,,Operational,Partly operational,Land (fixed),0-170-0-27015330|primary,South America,Brazil,Colombia,6.22061,-75.58898,1490,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at lowest relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
OTU *,,	1963-01-01,,Operational,Operational,Land (fixed),0-20000-0-80089|primary,South America,Brazil,Colombia,7,-74.7166666667,,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: STATION WITHOUT OBSERVING PROGRAMME/SANS PROGRAMME D'OBSERVATION* (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
PAEZ,,	1975-11-15,,Operational,Operational,Land (fixed),0-170-0-35080050|primary,South America,Brazil,Colombia,5.09624,-73.0529,1318,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
PAISPAMBA,,	1994-06-15,,Operational,Unknown,Land (fixed),0-170-0-52015010|primary,South America,Brazil,Colombia,2.249722,-76.611944,2450,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,|,GOS General:Operational,	2023-06-20,COL NMHS
PANAMERICANA,,	1963-01-14,,Operational,Partly operational,Land (fixed),0-170-0-56015010|primary,South America,Brazil,Colombia,6.2231,-77.4043,8,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
PARQUE TAYRONA,,	1977-11-15,,Operational,Operational,Land (fixed),0-170-0-15015100|primary,South America,Brazil,Colombia,11.3103,-73.93347,30,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
PASTO/ANTONIO NARINO,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-80342|primary,South America,Brazil,Colombia,1.4166666667,-77.2666666667,,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
PENA RICA,,	1973-12-15,,Operational,Operational,Land (fixed),0-170-0-22020020|primary,South America,Brazil,Colombia,3.04505,-75.76178,1761,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
PEREIRA/MATECANA,,	1947-09-15,,Operational,Partly operational,Land (fixed),0-20000-0-80210|primary,South America,Brazil,Colombia,4.8166666667,-75.7333333333,1342,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
PISBA - AUT,,	2016-12-15,,Operational,Operational,Land (fixed),0-170-0-35215030|primary,South America,Brazil,Colombia,5.72055,-72.48847,1465,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-07-31,Jorge Andres Gonzalez Rojas
PITALITO,,	1980-01-01,,Operational,Silent,Land (fixed),0-20000-0-80346|primary,South America,Brazil,Colombia,1.8666666667,-76.05,1320,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
PLATO MAGDALENA,,	1964-08-15,,Operational,Unknown,Land (fixed),0-170-0-25027450|primary,South America,Brazil,Colombia,9.78778,-74.80583,16,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
PLAYON EL,,	2016-12-15,,Operational,Unknown,Land (fixed),0-170-0-35217060|primary,South America,Brazil,Colombia,5.5405,-72.23172,271,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
PLAZA DE FERIAS,,	2012-07-21,,Operational,Unknown,Land (fixed),0-170-0-35027001|primary,South America,Brazil,Colombia,4.40339,-73.94056,1670,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
PM LA LAGUNA,,	2018-09-01,,Operational,Unknown,Land (fixed),0-170-0-2403000117|primary,South America,Brazil,Colombia,6.44717,-72.49769,2759,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
POPAYAN/MACHANGARA *,,,,Operational,Unknown,Land (fixed),0-20000-0-80308|primary,South America,Brazil,Colombia,2.4666666667,-76.6,,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: STATION WITHOUT OBSERVING PROGRAMME/SANS PROGRAMME D'OBSERVATION* (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
PUENTE LA RAMADA AUT,,	2019-07-22,,Operational,Unknown,Land (fixed),0-170-0-2403700149|primary,South America,Brazil,Colombia,6.5607,-72.5012,2305,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
PUENTE LAS CANAS,,	1980-07-15,,Operational,Unknown,Land (fixed),0-170-0-35197070|primary,South America,Brazil,Colombia,5.58669,-72.81533,3135,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
PUENTE SANTANDER,,	1960-09-15,,Operational,Unknown,Land (fixed),0-170-0-21097070|primary,South America,Brazil,Colombia,2.94261,-75.30853,431,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
PUERTA ROJA - AUT,,	2004-08-23,,Operational,Silent,Land (fixed),0-170-0-25025350|primary,South America,Brazil,Colombia,9.3164,-75.3875,160,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
PUERTO ASIS,,	1972-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80372|primary,South America,Brazil,Colombia,0.5,-76.5,254,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
PUERTO BERRIO AUT,,	1936-01-15,,Operational,Unknown,Land (fixed),0-170-0-23097030|primary,South America,Brazil,Colombia,6.48514,-74.40117,111,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
PUERTO BOYACA,,	1974-08-15,,Operational,Partly operational,Land (fixed),0-170-0-23115010|primary,South America,Brazil,Colombia,6.22127,-74.56166,127,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
PUERTO CARRENO/A.GUAUQUEA,,	2016-04-29,,Operational,Partly operational,Land (fixed),0-20000-0-80139|primary,South America,Brazil,Colombia,6.1666666667,-67.5,55,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
PUERTO ESTRELLA - AUT,,	2017-05-01,,Operational,Partly operational,Land (fixed),0-170-0-1508500053|primary,South America,Brazil,Colombia,12.33919,-71.32158,23,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-07-31,Jorge Andres Gonzalez Rojas
PUERTO INIRIDA AUT,,	2003-03-26,,Operational,Unknown,Land (fixed),0-170-0-31095030|primary,South America,Brazil,Colombia,3.87442,-67.91905,100,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
PUERTO LEGUIZAMO,,	1980-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80385|primary,South America,Brazil,Colombia,-0.2,-74.7666666667,147,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
PUERTO LIBERTADOR,,	1989-05-15,,Operational,Operational,Land (fixed),0-170-0-25010010|primary,South America,Brazil,Colombia,7.89028,-75.68,55,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
PUERTO RICO HACIENDA AUT,,	1967-06-14,,Operational,Unknown,Land (fixed),0-170-0-29067060|primary,South America,Brazil,Colombia,10.5,-74.13333,55,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
PUERTO VALDIVIA AUT,,	1959-10-15,,Operational,Unknown,Land (fixed),0-170-0-26237040|primary,South America,Brazil,Colombia,7.28712,-75.39673,129,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
PURIFICACION AUT,,	1959-11-15,,Operational,Unknown,Land (fixed),0-170-0-21137010|primary,South America,Brazil,Colombia,3.84953,-74.93578,306,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
Pasto,,	1998-01-01,,Operational,Unknown,Land (fixed),0-20008-0-PTO|primary,South America,Brazil,Colombia,1.2250000238,-77.2830581665,2560,,UTC-5,,,,"Pasto, city in southwestern Colombia, capital of the department Nariño, on a plateau of the Andes Mountains. The city is just 8 km from the Galeras volcano. Volcanic activity has been frequent in the last five years, including an eruption in January 1993. The city is on the Pan-American Highway and is an important commercial and transportation center for the surrounding agricultural region.",Warm temperate - Dry and warm summer,,,,,GAW Regional:Operational,	2009-03-13,
Piedrancha AUT,,	2016-07-01,,Operational,Unknown,Land (fixed),0-170-0-51020011|primary,South America,Brazil,Colombia,1.14153,-77.92897,1830,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
Piendamo,Piendamo [26020030],	1947-01-01,,Operational,Unknown,Land (fixed),0-170-0-26020030|primary,South America,Brazil,Colombia,2.642694,-76.536111,1872,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,23|610,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
Polindara,Polindara [26020460],	1984-10-25,,Operational,Unknown,Land (fixed),0-170-0-26020460|primary,South America,Brazil,Colombia,2.487583,-76.404667,2507,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,8|510,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
Popayán,Popayán [26030020],	1950-01-01,,Operational,Unknown,Land (fixed),0-170-0-26030020|primary,South America,Brazil,Colombia,2.45,-76.616667,1730,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,112|530,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
Puracé,Puracé [26010030],	1959-05-01,,Operational,Unknown,Land (fixed),0-170-0-26010030|primary,South America,Brazil,Colombia,2.380861,-76.454778,2652,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,20|510,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
QUIBDO/EL CARANO,,	1947-02-15,,Operational,Partly operational,Land (fixed),0-20000-0-80144|primary,South America,Brazil,Colombia,5.7166666667,-76.6166666667,53,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-08-04,Jorge Andres Gonzalez Rojas
RIO BOBO,,	1965-01-15,,Operational,Partly operational,Land (fixed),0-170-0-52050060|primary,South America,Brazil,Colombia,1.0995,-77.29972,2988,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
RIOHACHA/ALMIRANTE PADILLA,,	1975-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-80035|primary,South America,Brazil,Colombia,11.5333333333,-72.9333333333,4,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBCN;RBSN(ST);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
RIONEGRO/J.M.CORDOVA,,	2006-11-27,,Operational,Operational,Land (fixed),0-20000-0-80112|primary,South America,Brazil,Colombia,6.1333333333,-75.4333333333,2140,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-08-04,Jorge Andres Gonzalez Rojas
